provenance,title,ligne01,ligne02,ligne03,source,explication
Akita,“The light of a candle”,The light of a candle —,Is transferred to another candle,spring twilight., Yosa Buson,Write by a haiku's Great Masters.Yosa Buson is known for bringing in a certain sensuality to his poems (perhaps owing to his training as a painter). In this haiku, his image of a single lit candle against the twilight artfully depicts how one candle can light another without being diminished — until you have a star-filled sky.  
Nagano,“A World of Dew”,This world of dew,is a world of dew,and yet...and yet., Kobayashi Issa,Write by the third master of Japanese haiku Kobayashi Issa. He grew up in poverty. From this humble background emerged beautiful poetry that expressed empathy for the less fortunate and capturing daily hardships faced by common people. This particularly emotionally stirring haiku was written a month after the passing of Issa’s daughter. 
Naha,“A Poppy Blooms”,I write. Erase. Rewrite,Erase again and then,A poppy blooms., Katsushika Hokusai,In this piece Katsushika Hokusai draws similarities between life and his writing — both processes of repetitive creation and destruction. Neither are linear or smooth and both demand constant work and perseverance. However the reward of his perseverance is something undeniably beautiful.
Sendai,“In the moonlight”,In pale moonlight,the wisteria’s scent,comes from far away., Yosa Buson,Buson invites the reader to share in his nostalgia with elements from nature such as ‘pale moonlight’ and the ‘wisteria’s scent’ triggering the our visual and olfactory senses — the fact that the scent is coming from far away adds a transportive element to the poem and asking us to imagine the unseen beauty of this tree.
Miyazaki,“O snail”,O snail,Climb Mount Fuji.,But slowly... slowly!, Kobayashi Issa,Aside from his pessimistic worldview. Issa was also renowned for shining a spotlight on smaller - less-than-glamorous creatures like grasshoppers - bugs and sparrows. In “O snail” he gently reminds the determined snail that while there are important things to do in life (like climbing mountains). there’s more to life than speed! The mountain isn’t going to go anywhere - is it? 
Nara,“I want to sleep”,I want to sleep,Swat the flies,Softly... please., Masaoka Shiki,Write by the last of the Four Great Masters of haiku Masaoka Shiki. He had a very direct writing style. Suffering tuberculosis for much of his life and his poetry was an outlet for his isolation. He would often focus on the trivial details of sick-room life and in this haiku - his sadness and fatigue are almost palpable.
Hikone,“After Killing a Spider”,After killing,a spider... how lonely I feel,in the cold of night!, Masaoka Shiki,Masaoka Shiki’s “After Killing a Spider” is a prime example of haiku’s ability to capture the minutiae of life. Filled with loneliness and regret. After Killing a Spider depicts exactly what it says on the tin. But then it goes further into the speaker’s emotions after the incident — for after killing his only companion - the speaker is left alone in the cold of the night. What’s also interesting is that the first break comes after the word ‘killing’ emphasizing the brutality the speaker felt on performing the act - even if it was just a spider.
Kyoto,“[I kill an ant]”,I kill an ant,and realize my three children,have been watching., Kato Shuson,If you haven't had your fill of bug-killing action here’s a haiku from Kato Shuson. As with “After killing a spider” the speaker doesn’t feel remorse at having ended a life — but perhaps regrets allowing their kids to see their savage tendencies. Though short in length, this haiku imparts a powerful message: be the person that you want your children to see.
Mibu,“Over The Wintry”,Over the wintry,forest and winds. Howl in rage,with no leaves to blow., Natsume Sōse,One can easily imagine the person represented by the metaphorical wind in this haiku: someone in their winter years who has spent the year railing against the world and only to be left with no one left to listen. While spring often represents the idea of hope in poetry - winter surely is the season of regret.
Tokyo,“[cherry blossoms]”,cherry blossoms,fall! fall!,enough to fill my belly, Kobayashi Issa,Cherry blossoms are a big deal in Japan. So it’s no surprise that they often turn up in haiku. In this poem the cherry blossom festival must be in full swing and the speaker can barely control their excitement. Wishing for more — an excess of it that - surfeiting - the appetite might sicken and so die (as Shakespeare might say). It’s enough to make you want to book the next available flight to Tokyo.
Yokohama,“[The lamp once out]”,The lamp once out,Cool stars enter,The window frame., Natsume Soseki,This is a classic by Natsume Soseki. A widely respected novelist and haiku writer. You might read it literally and thinking that one can marvel at the night sky in all of its wonder as soon as the light of the lamp on the street goes out or you can also interpret the lamp as an active mind 一 only when we manage to quiet it can we access a deeper - wiser source of light - represented by the stars. 
Hiroshima,“[The snow of yesterday]”,The snow of yesterday,That fell like cherry blossoms,Is water once again, Gozan,The art of writing haiku demands an almost superhuman level of observation. Aida Bunnosuke also known as Gozan - speaks about the impermanence of our surroundings by noticing how snowflakes turn into water in very little time. This theme of the ephemeral nature of life is again emphasized by the cherry blossoms which only last for about a week after peak bloom.
Nara,“[First autumn morning]”,First autumn morning,the mirror I stare into,shows my father's face., Murakami Kijo,Born in Tokyo in 1865 - Murakami Kijo helped with the founding of Hototogisu a literary magazine responsible for popularizing the modern haiku in Japan. In this particular piece - Kijo uses the simple act of looking into the mirror to convey one’s struggle with mortality. 
Fukuoka,“[What is it but a dream?]”,What is it but a dream?,The blooming as well,Lasts only seven cycles, Hakuen Ekaku,This pensive haiku by Hakuen Ekaku broodingly reflects on the theme of death. As haiku writers like to remind us - the blooming of the most beautiful of nature’s occurrences like spring cherry blossom are always temporary. Coincidentally Hakuen’s life also spanned seven cycles as he died at the age of sixty-six.
Tateyama,“[Even in Kyoto]”,Even in Kyoto,Hearing the cuckoo’s cry,I long for Kyoto, Kobayashi Issa,In this classic piece by Kobayashi Issa - a bird’s call brings him back to his early days as a student in Kyoto. The poem exudes a certain nostalgia and longing for that time in his life which is now lost 一 something we can all relate to in our own ways. 
