id,new,old,radical,strokes,grade,year_added,Unnamed: 7,translation
1,亜,亞,二,7,S,,,-ous (indiquant un faible état d'oxydation)
2,哀,,口,9,S,,,chagrin
3,挨,,手,10,S,2010.0,,poussière
4,愛,,心,13,4,,,amour
5,曖,,日,17,S,2010.0,,faible
6,悪,惡,心,11,3,,,maléfique
7,握,,手,12,S,,,poignée
8,圧,壓,土,5,5,,,pression
9,扱,,手,6,S,,,traitement
10,宛,,宀,8,S,2010.0,,objectif
11,嵐,,山,12,S,2010.0,,tempête
12,安,,宀,6,3,,,bon marché
13,案,,木,10,4,,,idée
14,暗,,日,13,3,,,sombre
15,以,,人,5,4,,,"depuis (c'est-à-dire ""pour cette raison"")"
16,衣,,衣,6,4,,,vêtements
17,位,,人,7,4,,,lieu
18,囲,圍,囗,7,4,,,enceinte
19,医,醫,酉,7,3,,,médecine
20,依,,人,8,S,,,en raison de
21,委,,女,8,3,,,commission
22,威,,女,9,S,,,l'autorité
23,為,爲,爪,9,S,,,bon
24,畏,,田,9,S,2010.0,,"Je vous prie d'agréer, Monsieur le Président, l'expression de mes sentiments distingués."
25,胃,,肉,9,4,,,estomac
26,尉,,寸,11,S,,,rang
27,異,,田,11,6,,,différents
28,移,,禾,11,5,,,"poste de travail (par exemple, dans une usine)"
29,萎,,艸,11,S,2010.0,,dépérissement
30,偉,,人,12,S,,,formidable
31,椅,,木,12,S,2010.0,,chaise
32,彙,,彐,13,S,2010.0,,type
33,意,,心,13,3,,,sens
34,違,,辵,13,S,,,différents
35,維,,糸,14,S,,,"this (indiquant un élément proche du locuteur, l'action du locuteur ou le sujet en cours)"
36,慰,,心,15,S,,,le confort
37,遺,,辵,15,6,,,reste
38,緯,,糸,16,S,,,trame
39,域,,土,11,6,,,région
40,育,,肉,8,3,,,l'éducation
41,一,,一,1,1,,,"juste (par exemple, ""essayez-le"")"
42,壱,壹,士,7,S,,,un (utilisé dans les documents juridiques)
43,逸,逸,辵,11,S,,,anecdote
44,茨,,艸,9,S,2010.0,,rose sauvage
45,芋,,艸,6,S,,,pomme de terre
46,引,,弓,4,2,,,tirer
47,印,,卩,6,4,,,marque
48,因,,囗,6,5,,,cause
49,咽,,口,9,S,2010.0,,gorge
50,姻,,女,9,S,,,mariage
51,員,,口,10,3,,,membre
52,院,,阜,10,3,,,"chambre du parlement (congrès, diète, etc.)"
53,淫,,水,11,S,2010.0,,licence
54,陰,,阜,11,S,,,ombre
55,飲,,食,12,3,,,boire
56,隠,隱,阜,14,S,,,"caché (talisman, etc.)"
57,韻,,音,19,S,,,rime
58,右,,口,5,1,,,droit
59,宇,,宀,6,6,,,"compteur pour les bâtiments, etc."
60,羽,,羽,6,2,,,"pale (ventilateur, hélice, etc.)"
61,雨,,雨,8,1,,,pluie
62,唄,,口,10,S,2010.0,,chant
